table_name,rule_id,dimension,severity,description,total_count,failed_count,passed_count,pass_rate,recommendation,failed_examples
issuers,ISS-002,Uniqueness,Critical,issuer_id must be unique.,1515,30,1485,0.9802,Investigate duplicate issuer records.,"[{'issuer_id': 'ISS000071', 'entity_id': 'ENT003094', 'issuer_name': 'Horizon Investments'}, {'issuer_id': 'ISS000260', 'entity_id': 'ENT004754', 'issuer_name': 'Helios Energy'}, {'issuer_id': 'ISS000414', 'entity_id': 'ENT002740', 'issuer_name': 'Meridian Industries'}, {'issuer_id': 'ISS000423', 'entity_id': 'ENT000762', 'issuer_name': 'Northbridge Ltd'}, {'issuer_id': 'ISS000452', 'entity_id': 'ENT000427', 'issuer_name': 'Riverstone Finance'}]"
issuers,ISS-003,Referential Integrity,Critical,issuer entity_id must exist in the entity master table.,1515,26,1489,0.9828,Fix orphan issuer records by matching them to valid entity IDs.,"[{'issuer_id': 'ISS000045', 'entity_id': 'ENT_ORPHAN_25', 'issuer_name': 'Riverstone Services', 'source_system': 'Manual Upload'}, {'issuer_id': 'ISS000050', 'entity_id': 'ENT_ORPHAN_65', 'issuer_name': 'Frontier Group', 'source_system': 'ProviderA'}, {'issuer_id': 'ISS000163', 'entity_id': 'ENT_ORPHAN_59', 'issuer_name': 'Meridian Investments', 'source_system': 'Issuer Feed'}, {'issuer_id': 'ISS000177', 'entity_id': 'ENT_ORPHAN_12', 'issuer_name': 'Crestline Industries', 'source_system': 'Issuer Feed'}, {'issuer_id': 'ISS000192', 'entity_id': 'ENT_ORPHAN_41', 'issuer_name': 'Atlas Energy', 'source_system': 'ProviderB'}]"
issuers,ISS-004,Validity,Medium,instrument_type must be in the approved instrument list.,1515,54,1461,0.9644,Map invalid instrument types to the approved taxonomy.,"[{'issuer_id': 'ISS000010', 'entity_id': 'ENT002980', 'instrument_type': 'InvalidInstrument'}, {'issuer_id': 'ISS000036', 'entity_id': 'ENT004831', 'instrument_type': 'InvalidInstrument'}, {'issuer_id': 'ISS000039', 'entity_id': 'ENT002029', 'instrument_type': 'InvalidInstrument'}, {'issuer_id': 'ISS000058', 'entity_id': 'ENT000641', 'instrument_type': 'InvalidInstrument'}, {'issuer_id': 'ISS000060', 'entity_id': 'ENT001735', 'instrument_type': 'InvalidInstrument'}]"
issuers,ISS-005,Completeness,High,listed issuers should have an exchange code.,1515,92,1423,0.9393,Request missing exchange codes for listed issuers.,"[{'issuer_id': 'ISS000001', 'entity_id': 'ENT002565', 'listing_status': 'Listed', 'exchange_code': nan}, {'issuer_id': 'ISS000008', 'entity_id': 'ENT004260', 'listing_status': 'Listed', 'exchange_code': nan}, {'issuer_id': 'ISS000016', 'entity_id': 'ENT001339', 'listing_status': 'Listed', 'exchange_code': nan}, {'issuer_id': 'ISS000029', 'entity_id': 'ENT004542', 'listing_status': 'Listed', 'exchange_code': nan}, {'issuer_id': 'ISS000046', 'entity_id': 'ENT003011', 'listing_status': 'Listed', 'exchange_code': nan}]"
entity_hierarchy,HIER-001,Referential Integrity,Critical,child_entity_id must exist in entity master.,2020,26,1994,0.9871,Resolve orphan child entities before publishing hierarchy data.,"[{'child_entity_id': 'ENT_UNKNOWN_20', 'parent_entity_id': 'ENT001230', 'source_system': 'ProviderB'}, {'child_entity_id': 'ENT_UNKNOWN_6', 'parent_entity_id': 'ENT000059', 'source_system': 'ProviderA'}, {'child_entity_id': 'ENT_UNKNOWN_27', 'parent_entity_id': 'ENT001912', 'source_system': 'ProviderA'}, {'child_entity_id': 'ENT_UNKNOWN_13', 'parent_entity_id': 'ENT003690', 'source_system': 'Internal Master'}, {'child_entity_id': 'ENT_UNKNOWN_15', 'parent_entity_id': 'ENT001485', 'source_system': 'ProviderB'}]"
entity_hierarchy,HIER-002,Referential Integrity,Critical,parent_entity_id must exist in entity master.,2020,23,1997,0.9886,Resolve orphan parent entities before publishing hierarchy data.,"[{'child_entity_id': 'ENT000741', 'parent_entity_id': 'ENT_UNKNOWN_14', 'source_system': 'Internal Master'}, {'child_entity_id': 'ENT004207', 'parent_entity_id': 'ENT_UNKNOWN_36', 'source_system': 'ProviderA'}, {'child_entity_id': 'ENT001676', 'parent_entity_id': 'ENT_UNKNOWN_1', 'source_system': 'ProviderB'}, {'child_entity_id': 'ENT001182', 'parent_entity_id': 'ENT_UNKNOWN_38', 'source_system': 'Internal Master'}, {'child_entity_id': 'ENT001426', 'parent_entity_id': 'ENT_UNKNOWN_15', 'source_system': 'Internal Master'}]"
entity_hierarchy,HIER-003,Validity,High,child_entity_id cannot equal parent_entity_id.,2020,21,1999,0.9896,Remove self-referencing hierarchy relationships.,"[{'child_entity_id': 'ENT000099', 'parent_entity_id': 'ENT000099', 'relationship_type': 'Subsidiary'}, {'child_entity_id': 'ENT003679', 'parent_entity_id': 'ENT003679', 'relationship_type': 'Parent'}, {'child_entity_id': 'ENT000973', 'parent_entity_id': 'ENT000973', 'relationship_type': 'Unknown'}, {'child_entity_id': 'ENT003916', 'parent_entity_id': 'ENT003916', 'relationship_type': 'Ultimate Parent'}, {'child_entity_id': 'ENT004810', 'parent_entity_id': 'ENT004810', 'relationship_type': 'Parent'}]"
entity_hierarchy,HIER-004,Validity,High,ownership_percentage must be between 0 and 100.,2020,270,1750,0.8663,Review ownership percentages outside the valid range.,"[{'child_entity_id': 'ENT_UNKNOWN_20', 'parent_entity_id': 'ENT001230', 'ownership_percentage': 129.84}, {'child_entity_id': 'ENT000824', 'parent_entity_id': 'ENT001261', 'ownership_percentage': 124.58}, {'child_entity_id': 'ENT004746', 'parent_entity_id': 'ENT000728', 'ownership_percentage': 103.39}, {'child_entity_id': 'ENT002962', 'parent_entity_id': 'ENT002221', 'ownership_percentage': -25.0}, {'child_entity_id': 'ENT000099', 'parent_entity_id': 'ENT000099', 'ownership_percentage': 112.18}]"
entity_hierarchy,HIER-005,Hierarchy Integrity,High,hierarchy should not contain circular parent-child relationships.,2020,61,1959,0.9698,Investigate circular relationships and apply hierarchy survivorship rules.,"[{'child_entity_id': 'ENT000099', 'parent_entity_id': 'ENT000099', 'relationship_type': 'Subsidiary'}, {'child_entity_id': 'ENT003606', 'parent_entity_id': 'ENT002288', 'relationship_type': 'Parent'}, {'child_entity_id': 'ENT003900', 'parent_entity_id': 'ENT002119', 'relationship_type': 'Subsidiary'}, {'child_entity_id': 'ENT003679', 'parent_entity_id': 'ENT003679', 'relationship_type': 'Parent'}, {'child_entity_id': 'ENT000911', 'parent_entity_id': 'ENT001341', 'relationship_type': 'Affiliate'}]"
kyc_attributes,KYC-001,Referential Integrity,Critical,KYC entity_id must exist in entity master.,4250,64,4186,0.9849,Resolve orphan KYC records or create missing master entity records.,"[{'entity_id': 'ENT_KYC_ORPHAN_27', 'kyc_status': 'Unknown', 'risk_rating': 'High', 'source_system': 'ProviderA'}, {'entity_id': 'ENT_KYC_ORPHAN_40', 'kyc_status': 'Expired', 'risk_rating': 'Critical', 'source_system': 'KYC Platform'}, {'entity_id': 'ENT_KYC_ORPHAN_16', 'kyc_status': 'Pending', 'risk_rating': 'Medium', 'source_system': 'Manual Upload'}, {'entity_id': 'ENT_KYC_ORPHAN_69', 'kyc_status': 'Approved', 'risk_rating': 'Medium', 'source_system': 'ProviderA'}, {'entity_id': 'ENT_KYC_ORPHAN_23', 'kyc_status': 'Pending', 'risk_rating': 'High', 'source_system': 'ProviderA'}]"
kyc_attributes,KYC-002,Validity,High,"risk_rating must be Low, Medium, High, or Critical.",4250,204,4046,0.952,Map invalid risk ratings to the approved risk taxonomy.,"[{'entity_id': 'ENT000063', 'risk_rating': 'InvalidRisk', 'source_system': 'Manual Upload'}, {'entity_id': 'ENT002965', 'risk_rating': 'InvalidRisk', 'source_system': 'ProviderA'}, {'entity_id': 'ENT001132', 'risk_rating': 'InvalidRisk', 'source_system': 'KYC Platform'}, {'entity_id': 'ENT001920', 'risk_rating': 'InvalidRisk', 'source_system': 'KYC Platform'}, {'entity_id': 'ENT002554', 'risk_rating': 'InvalidRisk', 'source_system': 'KYC Platform'}]"
kyc_attributes,KYC-003,Timeliness,Critical,High and Critical risk counterparties should have been reviewed within 365 days.,4250,1209,3041,0.7155,Prioritise stale high-risk counterparties for review.,"[{'entity_id': 'ENT003794', 'risk_rating': 'High', 'last_review_date': '2022-03-14'}, {'entity_id': 'ENT003904', 'risk_rating': 'Critical', 'last_review_date': '2021-06-10'}, {'entity_id': 'ENT003693', 'risk_rating': 'High', 'last_review_date': '2023-01-08'}, {'entity_id': 'ENT002293', 'risk_rating': 'High', 'last_review_date': '2024-08-18'}, {'entity_id': 'ENT002715', 'risk_rating': 'Critical', 'last_review_date': '2020-06-05'}]"
kyc_attributes,KYC-004,Timeliness,High,next_review_due_date should not be overdue.,4250,2697,1553,0.3654,Trigger remediation workflow for overdue KYC reviews.,"[{'entity_id': 'ENT003794', 'risk_rating': 'High', 'next_review_due_date': '2022-09-11'}, {'entity_id': 'ENT000063', 'risk_rating': 'InvalidRisk', 'next_review_due_date': '2021-03-31'}, {'entity_id': 'ENT004195', 'risk_rating': 'Medium', 'next_review_due_date': '2025-10-28'}, {'entity_id': 'ENT003693', 'risk_rating': 'High', 'next_review_due_date': '2022-03-30'}, {'entity_id': 'ENT004435', 'risk_rating': 'Medium', 'next_review_due_date': '2024-04-11'}]"
provider_feed,PRV-001,Uniqueness,High,provider_record_id must be unique.,3857,114,3743,0.9704,Investigate duplicated records from third-party provider feeds.,"[{'provider_record_id': 'PRV0000150', 'provider_name': 'ProviderB', 'legal_name': 'Frontier Group'}, {'provider_record_id': 'PRV0000319', 'provider_name': 'ProviderA', 'legal_name': nan}, {'provider_record_id': 'PRV0000326', 'provider_name': 'ProviderC', 'legal_name': 'Northbridge Ltd'}, {'provider_record_id': 'PRV0000355', 'provider_name': 'ProviderA', 'legal_name': 'Nova Holdings'}, {'provider_record_id': 'PRV0000462', 'provider_name': 'ProviderC', 'legal_name': 'Union Investments'}]"
provider_feed,PRV-002,Completeness,High,provider legal_name must not be null.,3857,78,3779,0.9798,Reject provider records without legal names or return them for enrichment.,"[{'provider_record_id': 'PRV0000024', 'provider_name': 'ProviderB', 'legal_name': nan}, {'provider_record_id': 'PRV0000038', 'provider_name': 'ProviderC', 'legal_name': nan}, {'provider_record_id': 'PRV0000066', 'provider_name': 'ProviderA', 'legal_name': nan}, {'provider_record_id': 'PRV0000114', 'provider_name': 'ProviderA', 'legal_name': nan}, {'provider_record_id': 'PRV0000126', 'provider_name': 'ProviderC', 'legal_name': nan}]"
provider_feed,PRV-003,Validity,Medium,confidence_score must be between 0 and 1.,3857,564,3293,0.8538,Standardise provider confidence scores and reject invalid values.,"[{'provider_record_id': 'PRV0000022', 'provider_name': 'ProviderA', 'confidence_score': 1.5}, {'provider_record_id': 'PRV0000025', 'provider_name': 'ProviderB', 'confidence_score': 1.5}, {'provider_record_id': 'PRV0000034', 'provider_name': 'ProviderC', 'confidence_score': 1.042}, {'provider_record_id': 'PRV0000039', 'provider_name': 'ProviderC', 'confidence_score': 1.044}, {'provider_record_id': 'PRV0000043', 'provider_name': 'ProviderB', 'confidence_score': 1.051}]"
provider_feed,PRV-004,Consistency,Medium,provider registration_number should match an internal master record where available.,3857,0,3857,1.0,Run entity matching and investigate unmatched provider records.,[]
